:ID	number	label	type	quoted	text	:LABEL
H37898CE342274356A2E0C2E54F77E786	A	A Improving basic programs operated by State and local educational agencies	part	False	Part A: Improving basic programs operated by State and local educational agencies	Part
H88AD5853F5584678B3ED2B11C0C01915	B	B State assessment grants	part	False	Part B: State assessment grants	Part
H8DC34E8791584F6CB90F1654A4E5EBB3	B	B State assessment grants	part	True	Part B: State assessment grants	Part
H5B0FF0F4DABE4823986055AD5275E967	C	C Education of migratory children	part	False	Part C: Education of migratory children	Part
H8E2F31B964414D2A9D6F3243E3B10336	D	D Prevention and intervention programs for children and youth who are neglected, delinquent, or at-ris ...	part	False	Part D: Prevention and intervention programs for children and youth who are neglected, delinquent, or at-risk	Part
H2763FE1692B84FDA8691A6569BCB2130	E	E Flexibility for equitable per-pupil funding	part	False	Part E: Flexibility for equitable per-pupil funding	Part
H2A642A36CDD749259EF015B134E9636A	E	E Flexibility for equitable per-pupil funding	part	True	Part E: Flexibility for equitable per-pupil funding	Part
HFA2AAD18472249AEAEA3495EFAE4DFB7	F	F General provisions	part	False	Part F: General provisions	Part
